label,layer,acc,mean_gold_prob,support
DET,0,0.1566068515497553,0.07428953017150493,4904
DET,1,0.02304241435562806,0.05899669117568958,4904
DET,2,0.10623980424143556,0.08048765540404433,4904
DET,3,0.1166394779771615,0.09861159222360039,4904
DET,4,0.091557911908646,0.09357545857169995,4904
DET,5,0.12296084828711257,0.10821585630679725,4904
DET,6,0.10868678629690048,0.10755526908839708,4904
DET,7,0.47124796084828713,0.19299642250058052,4904
DET,8,0.5120309951060359,0.23533067326642554,4904
DET,9,0.9029363784665579,0.4633167163234547,4904
DET,10,0.9949021207177814,0.8422486353434137,4904
DET,11,0.9965334420880914,0.9792725588306599,4904
DET,12,0.9969412724306689,0.9966470653910317,4904
NOUN,0,0.16674591852908544,0.09610675413525838,6309
NOUN,1,0.28213663021081,0.14529349966711894,6309
NOUN,2,0.3344428594071961,0.14502291029843506,6309
NOUN,3,0.3764463464891425,0.1727053777999006,6309
NOUN,4,0.46504992867332384,0.21781464516893642,6309
NOUN,5,0.7501981296560469,0.3334786417020314,6309
NOUN,6,0.9445236963068632,0.5332028837089203,6309
NOUN,7,0.9898557616103979,0.7563314190222091,6309
NOUN,8,0.9946108733555239,0.8797128814914573,6309
NOUN,9,0.9944523696306863,0.9436132786909901,6309
NOUN,10,0.9923918212077983,0.9688012609268905,6309
NOUN,11,0.9912822951339356,0.9785415594745245,6309
NOUN,12,0.9920748137581233,0.991996099343884,6309
VERB,0,0.13539192399049882,0.08589378850513266,3368
VERB,1,0.11549881235154394,0.0833367895863598,3368
VERB,2,0.19804038004750593,0.1049898339996381,3368
VERB,3,0.2856294536817102,0.1374727277644587,3368
VERB,4,0.2695961995249406,0.14568205895003278,3368
VERB,5,0.3509501187648456,0.18788796422780202,3368
VERB,6,0.42963182897862234,0.23761441304227846,3368
VERB,7,0.6445961995249406,0.3514700771418385,3368
VERB,8,0.8411520190023754,0.5672243389850864,3368
VERB,9,0.959916864608076,0.8569660253394266,3368
